Pixel,SmoothedIntensityADC,ReferenceIntensityADC,ReferenceCorrectedRatio,ReferenceCorrectedRatioNormalizedMax
1175,2281.842800856522,2281.842800856522,1.0,1.0
1176,2281.818283862738,2281.818283862738,1.0,1.0
1177,2281.7592912626315,2281.7592912626315,1.0,1.0
1178,2281.74531939983,2281.74531939983,1.0,1.0
1179,2281.7353259273527,2281.7353259273527,1.0,1.0
1180,2281.7005095651443,2281.7005095651443,1.0,1.0
1181,2281.6716716821534,2281.6716716821534,1.0,1.0
1182,2281.6488122783803,2281.6488122783803,1.0,1.0
1183,2281.6319313538256,2281.6319313538256,1.0,1.0
1184,2281.5922014834778,2281.5922014834778,1.0,1.0
1185,2281.5193293994025,2281.5193293994025,1.0,1.0
1186,2281.480518088399,2281.480518088399,1.0,1.0
1187,2281.44493132158,2281.44493132158,1.0,1.0
1188,2281.402925097338,2281.402925097338,1.0,1.0
1189,2281.364722963736,2281.364722963736,1.0,1.0
1190,2281.3302813458504,2281.3302813458504,1.0,1.0
1191,2281.2995566687623,2281.2995566687623,1.0,1.0
1192,2281.361619557832,2281.361619557832,1.0,1.0
1193,2281.4267326914005,2281.4267326914005,1.0,1.0
1194,2281.446885221056,2281.446885221056,1.0,1.0
1195,2281.4734040467292,2281.4734040467292,1.0,1.0
1196,2281.5062804534364,2281.5062804534364,1.0,1.0
1197,2281.5455057261934,2281.5455057261934,1.0,1.0
1198,2281.5910711500155,2281.5910711500155,1.0,1.0
1199,2281.64296800992,2281.64296800992,1.0,1.0
1200,2281.6819693075813,2281.6819693075813,1.0,1.0
1201,2281.718974002343,2281.718974002343,1.0,1.0
1202,2281.72314586532,2281.72314586532,1.0,1.0
1203,2281.7431188662986,2281.7431188662986,1.0,1.0
1204,2281.7692228587207,2281.7692228587207,1.0,1.0
1205,2281.801396837695,2281.801396837695,1.0,1.0
1206,2281.8703811672813,2281.8703811672813,1.0,1.0
1207,2281.9549487602635,2281.9549487602635,1.0,1.0
1208,2282.0428324047657,2282.0428324047657,1.0,1.0
1209,2282.134005955834,2282.134005955834,1.0,1.0
1210,2282.228443268516,2282.228443268516,1.0,1.0
1211,2282.356919566809,2282.356919566809,1.0,1.0
1212,2282.490607425703,2282.490607425703,1.0,1.0
1213,2282.6295068451977,2282.6295068451977,1.0,1.0
1214,2282.764008683624,2282.764008683624,1.0,1.0
1215,2282.863302857046,2282.863302857046,1.0,1.0
1216,2283.0068508491577,2283.0068508491577,1.0,1.0
1217,2283.156207378293,2283.156207378293,1.0,1.0
1218,2283.2702952375353,2283.2702952375353,1.0,1.0
1219,2283.3971165603134,2283.3971165603134,1.0,1.0
1220,2283.516760222036,2283.516760222036,1.0,1.0
1221,2283.620231487426,2283.620231487426,1.0,1.0
1222,2283.7472218808985,2283.7472218808985,1.0,1.0
